title,authors,publisher,published_date,page_count,description,genres,thumbnail_url,isbn_13,language,rating
Десять негритят,Агата Кристи,Эксмо,2018,256,"Десять никак не связанных между собой людей в особняке на уединенном острове... Кто вызвал их сюда таинственным приглашением? Зачем кто-то убивает их, одного за другим, самыми невероятными способами? Почему все происходящее так тесно переплетено с веселым детским стишком?",Детектив,/static/books/covers/negritata.jpg,9785040911264,ru,5.0
Аэропорт,Артур Хейли,АСТ,2020,608,"Город, где находится крупнейший аэропорт, неожиданно накрывает снежный буран, поэтому все службы работают в экстренном режиме. На сотрудников аэропорта обрушивается одна проблема за другой — сначала непонятно где исчезает машина с продуктами, а потом на борту одного из самолетов происходит страшная авария. Ко всему прочему добавляются обострившиеся личные проблемы героев, их сложные душевные драмы — вот в такой запутанный клубок сюжетных линий завяжется действие романа, уместившееся в один пятничный вечер. По роману Аэропорт в 1970 году был снят фильм с ведущими голливудскими актерами — десять номинаций на премию Оскар! После этой экранизации вышли еще три сиквела.",Романтика,/static/books/covers/airport.jpg,9785170899494,ru,5.0
Письма Баламута. Расторжение брака,Клайв Стейплз Льюис,АСТ,2015,288,"В этот сборник вошли сразу три произведения Клайва Стейплза Льюиса — «Письма Баламута», «Баламут предлагает тост» и «Расторжение брака». «Письма Баламута» — блестяще остроумная пародия на старинный британский памфлет — представляют собой серию писем старого и искушенного беса Баламута, занимающего респектабельное место в адской номенклатуре, к любимому племяннику — юному бесу Гнусику, только‑только делающему первые шаги на ниве уловления человеческих душ. Нелегкое занятие в середине просвещенного и маловерного ХХ века, где искушать, в общем, уже и некого, и нечем... «Расторжение брака» — роман‑притча о преддверии загробного мира, обитатели которого могут без труда попасть в Рай, однако в большинстве своем упорно предпочитают привычную повседневность городской суеты Чистилища непривычному и незнакомому блаженству.",Романтика,/static/books/covers/balamut.jpg,9785171149307,ru,5.0
Замок Броуди,Арчибальд Кронин,Азбука,2025,672,"Самый популярный роман знаменитого прозаика Арчибальда Кронина. Многим известна английская пословица «Мой дом — моя крепость». И узнать тайны английского дома, увидеть «невидимые миру слезы» мало кому удается. Однако дом Джеймса Броуди стал не крепостью, для членов его семьи он превратился в настоящую тюрьму. Из нее вырывается старшая дочь Мэри, уезжает сын Мэт, а вот те, кто смиряется с самодурством и деспотизмом Броуди — его жена Маргарет и малышка Несси, — обречены...",Романтика,/static/books/covers/zamok_broudi.jpg,9785389113473,ru,5.0
Евгений Онегин,Александр Пушкин,Азбука,2025,352,"Роман в стихах «Евгений Онегин» — самое известное и самое значительное произведение А. С. Пушкина, вершина русской поэзии и предмет многочисленных исследований. Пушкин начал писать роман в мае 1823 года, а закончил только осенью 1831 года, когда было написано «Письмо Онегина к Татьяне». Осенью 1823 года он сообщал друзьям: «...Я теперь пишу не роман, а роман в стихах — дьявольская разница...» Занимательный, легкий, основанный на любовной истории, переданной в манере доверительной беседы автора с читателем, и вместе с тем полный неразрешимых парадоксов и загадок. Противоречивость, многомерность, составляющие самую суть пушкинского романа, привлекают новые поколения читателей, позволяют открывать в нем новые смыслы.",Романтика,/static/books/covers/evgeniy_onegin.jpg,9785389088467,ru,5.0
Моя геройская академия. Кн.1,Кохэй Хорикоси,Азбука,2025,408,"Много лет тому назад случилось чудо – на свет появился мерцающий младенец. С тех пор повсюду начали рождаться люди с особыми силами – причудами. Однако, увы, не все они используют свои способности во благо… К счастью, на страже порядка всегда стоят профессиональные герои, которые не позволят абсолютному злу взять верх! Хочешь стать героем, поступи в геройскую академию и раскрой свой потенциал!",Манга,/static/books/covers/mha1.jpg,9785389169517,ru,5.0
Хребты безумия,Говард Филлипс Лавкрафт,АСТ,2019,480,"При жизни этот писатель не опубликовал ни одной книги, после смерти став кумиром как массового читателя, так и искушенного эстета, и неиссякаемым источником вдохновения для кино- и игровой индустрии;его называли Эдгаром По ХХ века, гениальным безумцем и адептом тайных знаний; его творчество уникально настолько, что потребовало выделения в отдельный поджанр; им восхищались Роберт Говард и Клайв Баркер, Хорхе Луис Борхес и Айрис Мёрдок;",Фантастика,/static/books/covers/hrebty_bezumia.jpg,9785170991204,ru,5.0
Цветы для Элджернона,Дэниел Киз,"Эксмо",2012,384,"Еще недавно описанный Дэниелом Кизом эксперимент был абсолютной фантастикой, читая которую можно было только удивляться. Действительно невозможно было себе представить, что наука способна шагнуть так далеко, буквально в живой интеллект человека. Чарли — особенный молодой человек с отклонениями в развитии мозга. Он очень добрый, он трудолюбивый и честный... но глупый, наивный, не способный нормально обучаться. 40 лет назад — это был приговор безоговорочный и, конечно «Цветы для Элджернона» — книгой фантастической.",Романтика,/static/books/covers/flowers.jpg,9785699556991,ru,5.0
Щегол,Донна Тартт,АСТ,2017,832,"Роман, который лауреат Пулитцеровской премии Донна Тартт писала более 10 лет, — огромное эпическое полотно о силе искусства и о том, как оно — подчас совсем не так, как нам того хочется — способно перевернуть всю нашу жизнь. 13-летний Тео Декер чудом остался жив после взрыва, в котором погибла его мать. Брошенный отцом, без единой родной души на всем свете, он скитается по приемным домам и чужим семьям — от Нью-Йорка до Лас-Вегаса, — и его единственным утешением, которое, впрочем, чуть не приводит к его гибели, становится украденный им из музея шедевр голландского старого мастера.",Детектив,/static/books/covers/shegol.jpg,9785170854486,ru,5.0
Хоббит,Джон Рональд Руэл Толкин,АСТ,2025,304,"Джон Рональд Руэл Толкин — писатель, поэт, филолог, профессор Оксфордского университета, родоначальник современной фэнтези. В 1937 году был написан «Хоббит», а в середине 1950‑х годов увидели свет три книги «Властелина колец», повествующие о Средиземье — мире, населенном представителями волшебных рас со сложной культурой, историей и мифологией. В последующие годы эти романы были переведены на все мировые языки, адаптированы для кино, мультипликации, аудиопьес, театра, компьютерных игр, комиксов и породили массу подражаний и пародий. Впервые с иллюстрациями самого Джона Р.Р. Толкина!",Фантастика,/static/books/covers/hobbit.jpg,9785170828791,ru,5.0
Братство кольца,Джон Рональд Руэл Толкин,АСТ,2018,480,"Трилогия Властелин Колец — одна из тех великих книг, встреча с которыми становится Событием. Эпическая красота повествования, вечная тема борьбы Добра и Зла, большой подвиг маленького героя и, самое главное, — тот фантастический и вместе с тем удивительно реальный мир, в котором хочется остаться навсегда. Издание, которое вы держите в руках, выполненное в переводе Владимира Грушецкого и Наталии Григорьевой и оформленное знаменитым художником Денисом Гордеевым, — не просто книга на все времена, не просто культовое фэнтези от одного из самых известных писателей, но произведение искусства, сочетающее в себе волшебство слова и рисунка.",Фантастика,/static/books/covers/lord_of_the_rings1.jpg,9785170818020,ru,5.0
Старик и море. Острова и море,Эрнест Хемингуэй,АСТ,2013,544,"Повесть «Старик и море» — одно из самых известных и любимых читателями произведений Хемингуэя.Она принесла автору Пулитцеровскую премию, а также сыграла немаловажную роль в присуждении ему звания нобелевского лауреата. Это рассказ о «трагическом стоицизме» и мужестве, о том, как перед лицом безжалостной судьбы и одиночества человек, даже проигрывая, должен сохранять достоинство. «Острова и море» — искренняя и правдивая история жизни и гибели меланхоличного отшельника, художника‑мариниста Томаса Хадсона и его сыновей. Роман об одиночестве и отчаянии, самоотверженности и отваге, поиске выхода из тупика и нравственном долге перед собой и окружающими.",Романтика,/static/books/covers/ded_and_sea.jpg,9785171126414,ru,5.0
Война миров. Человек-невидимка,Герберт Уэллс,Эксмо,2021,384,"Два самых известных романа знаменитого классика фантастики в одной книге. «Война миров» — первый в истории роман, поднимающий тему вражды между людьми и инопланетянами. Захватывающий и отрезвляющий, пугающий и увлекательный, потрясающе масштабно экранизированный. «Человек-невидимка» — трагическая история талантливого ученого, совершившего удивительное открытие, которая поражает сочетанием психологической и бытовой достоверности с фантастичностью происходящих событий.",Романтика,/static/books/covers/ww3.jpg,9785041564117,ru,5.0
Современный Человек-Паук Т.1 Сила и ответственность,Брайан Бендис,Зодиак,2019,200,"Старшая школа, взросление, первые танцы – в молодости много ловушек. Смешайте их с сильной личной трагедией и суперсилой и вы сможете представить себе мир Питера Паркера, он же Человек-Паук! Станьте свидетелем перерождения легенды, пока Питер познает, что с великой силой должна прийти и великая ответственность! Содержит выпуски «Современного Человека-Паука #1-7», написанные Брайаном Майклом Бендисом и нарисованные Марком Багли, командой с самой длинной совместной работой над одной серией в истории Marvel!",Манга,/static/books/covers/ultimate_spider_man1.jpg,9000027804101,ru,5.0
Новая Росомаха. Том 1,Том Тейлор,Эксмо,2021,284,"ТЕПЕРЬ ОНА ЛУЧШАЯ В СВОЁМ ДЕЛЕ! Х-23 БЫЛА СОЗДАНА, ЧТОБЫ СТАТЬ ОРУЖИЕМ. И была им какое-то время. Но Лора Кинни сбежала от этой жизни благодаря своему наставнику, Логану, оригинальному Росомахе. Теперь, когда он погиб, Лора чтит его память, став Новой Росомахой. Но скоро её ждёт встреча с людьми, чьи лица она знает как своё собственное. БУКВАЛЬНО. Эти люди в смятении, и чтобы облегчить их ношу, Лора обратится за помощью к Доктору Стрэнджу и Осе! А также: прошлое отбрасывает большую тень. Лора узнает это на своём опыте, когда встретится не с кем иным, как со Стариком Логаном! Он пришёл в этот мир из царства антиутопии и разрухи и готов затянуть .туда всех, включая саму Лору. Она останется героем или же сдастся под натиском мрачной судьбы? В книгу входят комиксы Новая Росомаха #1-12. Над серией работали Том Тэйлор, Дэвид Лопез, Дэвид Наварро, Марсио Такара и Иг Гуара.",Манга,/static/books/covers/new_rosomaxa1.jpg,9785041074487,ru,5.0
Тайна Безумного Шляпника,Джон Диксон Карр,Азбука,2025,320,"Золотой век детектива подарил нам множество звездных имен. Произведения таких писателей, как Агата Кристи, Гилберт Честертон, Эрл Стэнли Гарднер, Рекс Стаут развивали и совершенствовали детективный жанр, их романы, безоговорочно признанные классикой, по сей день любимы читателями и являются эталоном качества для последующих поколений авторов детективных историй. Почетное место в этой плеяде по праву принадлежит Джону Диксону Карру (1906–1977) — виртуозному мастеру идеально построенных «невозможных преступлений в запертой комнате». В 1933 году в романе «Ведьмино Логово» Джон Диксон Карр впервые представил публике сыщика-любителя доктора Гидеона Фелла, а в 1934 году вышла в свет история о его следующем расследовании — роман «Тайна Безумного Шляпника». Проделки неизвестного хулигана, срывающего головные уборы с добропорядочных горожан, вряд ли могли бы взволновать повидавших всякое лондонцев. Другое дело — труп, раскинувшийся на ступенях Тауэра с одной из пропавших шляп на голове...",Детектив,/static/books/covers/secret_madness_shlapnika.jpg,9785389289147,ru,5.0
Последнее убийство в конце времен,Стюарт Тёртон,Азбука,2024,448,"Впервые на русском — новейшая книга автора международных бестселлеров «Семь смертей Эвелины Хардкасл» (перевод на более чем 30 языков, тираж свыше 1 млн только в США и Британии) и «Дьявол и темная вода», «ломающий все жанровые каноны роман-загадка, не похожий ни на что» (А. Дж. Финн, автор «Женщины в окне»). Смертельный туман покрыл Землю, уничтожив на ней всю жизнь. Уцелел лишь крошечный остров на краю света, окруженный защитным барьером. На острове в гармонии обитают трое старейшин-ученых — последняя связь с древним миром до катастрофы — и сто двадцать два жителя деревни. Но однажды происходит немыслимое — случается убийство. И если за сто семь часов убийца не будет найден, защитный барьер падет и гибельный туман поглотит последний остров на краю света… «Удивительная и совершенно органичная смесь постапокалипсиса с классическим детективом» (Good Reading, Australia).",Детектив,/static/books/covers/last_kill.jpg,9785389252691,ru,5.0
